,raceId,driverId,lap,position,time,milliseconds
802,989,1,1,1,1:34.233,94233
543,989,1,2,1,1:30.265,90265
440,989,1,3,1,1:29.809,89809
397,989,1,4,1,1:29.473,89473
365,989,1,5,1,1:29.161,89161
507,989,1,6,1,1:30.113,90113
484,989,1,7,1,1:30.020,90020
358,989,1,8,1,1:29.092,89092
356,989,1,9,1,1:29.070,89070
340,989,1,10,1,1:28.884,88884
337,989,1,11,1,1:28.861,88861
240,989,1,12,1,1:28.329,88329
287,989,1,13,1,1:28.535,88535
192,989,1,14,1,1:28.098,88098
221,989,1,15,1,1:28.248,88248
202,989,1,16,1,1:28.137,88137
128,989,1,17,1,1:27.753,87753
137,989,1,18,1,1:27.852,87852
837,989,1,19,2,1:45.050,105050
788,989,1,20,2,1:32.966,92966
151,989,1,21,2,1:27.954,87954
332,989,1,22,2,1:28.821,88821
217,989,1,23,2,1:28.228,88228
250,989,1,24,2,1:28.390,88390
309,989,1,25,2,1:28.681,88681
866,989,1,26,2,1:57.688,117688
911,989,1,27,2,2:07.130,127130
880,989,1,28,2,2:02.992,122992
925,989,1,29,2,2:13.148,133148
929,989,1,30,2,2:16.728,136728
933,989,1,31,2,2:17.887,137887
143,989,1,32,2,1:27.901,87901
160,989,1,33,2,1:27.976,87976
114,989,1,34,2,1:27.582,87582
45,989,1,35,2,1:27.043,87043
84,989,1,36,2,1:27.310,87310
104,989,1,37,2,1:27.481,87481
67,989,1,38,2,1:27.166,87166
28,989,1,39,2,1:26.889,86889
26,989,1,40,2,1:26.880,86880
22,989,1,41,2,1:26.843,86843
64,989,1,42,2,1:27.161,87161
27,989,1,43,2,1:26.882,86882
42,989,1,44,2,1:27.028,87028
29,989,1,45,2,1:26.898,86898
9,989,1,46,2,1:26.523,86523
357,989,1,47,2,1:29.084,89084
11,989,1,48,2,1:26.548,86548
14,989,1,49,2,1:26.656,86656
6,989,1,50,2,1:26.444,86444
13,989,1,51,2,1:26.647,86647
8,989,1,52,2,1:26.511,86511
130,989,1,53,2,1:27.778,87778
158,989,1,54,2,1:27.972,87972
131,989,1,55,2,1:27.801,87801
127,989,1,56,2,1:27.729,87729
184,989,1,57,2,1:28.048,88048
149,989,1,58,2,1:27.942,87942
824,989,4,1,10,1:41.528,101528
733,989,4,2,10,1:31.565,91565
709,989,4,3,10,1:31.304,91304
597,989,4,4,10,1:30.551,90551
750,989,4,5,10,1:31.910,91910
740,989,4,6,10,1:31.731,91731
693,989,4,7,10,1:31.167,91167
651,989,4,8,10,1:30.926,90926
567,989,4,9,10,1:30.407,90407
666,989,4,10,10,1:30.985,90985
642,989,4,11,10,1:30.872,90872
582,989,4,12,10,1:30.492,90492
522,989,4,13,10,1:30.171,90171
495,989,4,14,10,1:30.069,90069
